time,temperature,dwpt,humidity,precipitation,snow,wdir,windspeed,wpgt,pres,tsun,cloudcover,location
2024-11-11 19:00:00,15.8,7.0,56.0,0.0,,261.0,25.9,,1001.2,,2.0,Boston
2024-11-11 20:00:00,15.7,6.4,54.0,0.0,,262.0,24.1,,1001.2,,2.0,Boston
2024-11-11 21:00:00,15.4,6.1,54.0,0.0,,259.0,22.2,,1001.5,,2.0,Boston
2024-11-11 22:00:00,15.2,6.2,55.0,0.0,,255.0,20.4,,1002.0,,2.0,Boston
2024-11-11 23:00:00,15.1,6.1,55.0,0.0,,251.0,20.4,,1002.4,,2.0,Boston
2024-11-12 00:00:00,14.1,6.2,59.0,0.0,,248.0,18.5,,1002.6,,2.0,Boston
2024-11-12 01:00:00,13.0,6.1,63.0,0.0,,248.0,18.5,,1002.8,,2.0,Boston
2024-11-12 02:00:00,12.3,6.1,66.0,0.0,,247.0,18.5,,1003.0,,2.0,Boston
2024-11-12 03:00:00,12.2,5.8,65.0,0.0,,245.0,18.5,,1003.1,,2.0,Boston
2024-11-12 04:00:00,12.1,5.7,65.0,0.0,,246.0,16.7,,1003.2,,2.0,Boston
2024-11-12 05:00:00,12.0,5.6,65.0,0.0,,247.0,16.7,,1003.4,,2.0,Boston
2024-11-12 06:00:00,11.9,5.3,64.0,0.0,,254.0,18.5,,1003.3,,2.0,Boston
2024-11-12 07:00:00,11.5,4.9,64.0,0.0,,260.0,18.5,,1004.0,,2.0,Boston
2024-11-12 08:00:00,11.3,4.5,63.0,0.0,,265.0,18.5,,1004.6,,2.0,Boston
2024-11-12 09:00:00,11.3,4.3,62.0,0.0,,265.0,18.5,,1005.2,,2.0,Boston
2024-11-12 10:00:00,11.2,3.7,60.0,0.0,,272.0,20.4,,1006.2,,2.0,Boston
2024-11-12 11:00:00,11.2,3.2,58.0,0.0,,278.0,20.4,,1007.3,,2.0,Boston
2024-11-12 12:00:00,11.2,2.7,56.0,0.0,,289.0,24.1,,1008.0,,2.0,Boston
2024-11-12 13:00:00,11.1,1.9,53.0,0.0,,298.0,25.9,,1009.1,,2.0,Boston
2024-11-12 14:00:00,11.2,1.2,50.0,0.0,,305.0,27.8,,1010.2,,2.0,Boston
2024-11-12 15:00:00,11.2,0.3,47.0,0.0,,307.0,29.6,,1011.0,,2.0,Boston
2024-11-12 16:00:00,11.2,-0.6,44.0,0.0,,307.0,31.5,,1011.7,,2.0,Boston
2024-11-12 17:00:00,11.2,-1.2,42.0,0.0,,308.0,31.5,,1012.4,,2.0,Boston
2024-11-12 18:00:00,10.3,-2.1,42.0,0.0,,312.0,31.5,,1013.0,,2.0,Boston
2024-11-12 19:00:00,9.1,-2.8,43.0,0.0,,313.0,31.5,,1014.7,,2.0,Boston
2024-11-12 20:00:00,9.0,-3.6,41.0,0.0,,315.0,29.6,,1016.4,,2.0,Boston
2024-11-12 21:00:00,8.6,-4.6,39.0,0.0,,315.0,31.5,,1017.2,,2.0,Boston
2024-11-12 22:00:00,8.3,-4.5,40.0,0.0,,318.0,27.8,,1018.7,,2.0,Boston
2024-11-12 23:00:00,8.2,-4.9,39.0,0.0,,321.0,25.9,,1020.2,,2.0,Boston
2024-11-13 00:00:00,7.5,-5.2,40.0,0.0,,322.0,27.8,,1021.1,,2.0,Boston
2024-11-13 01:00:00,5.1,-5.3,47.0,0.0,,323.0,25.9,,1022.1,,2.0,Boston
2024-11-13 02:00:00,4.7,-5.4,48.0,0.0,,324.0,24.1,,1023.1,,2.0,Boston
2024-11-13 03:00:00,4.4,-5.7,48.0,0.0,,324.0,24.1,,1024.3,,2.0,Boston
2024-11-13 04:00:00,4.2,-5.8,48.0,0.0,,325.0,22.2,,1024.4,,2.0,Boston
2024-11-13 05:00:00,3.7,-6.0,49.0,0.0,,327.0,20.4,,1024.6,,2.0,Boston
2024-11-13 06:00:00,4.0,-6.3,47.0,0.0,,325.0,22.2,,1025.7,,2.0,Boston
2024-11-13 07:00:00,4.2,-6.1,47.0,0.0,,326.0,20.4,,1026.2,,1.0,Boston
2024-11-13 08:00:00,4.2,-6.1,47.0,0.0,,327.0,20.4,,1026.7,,2.0,Boston
2024-11-13 09:00:00,4.1,-6.2,47.0,0.0,,333.0,20.4,,1027.6,,2.0,Boston
2024-11-13 10:00:00,4.1,-6.2,47.0,0.0,,337.0,20.4,,1028.5,,2.0,Boston
2024-11-13 11:00:00,3.9,-5.9,49.0,0.0,,342.0,18.5,,1029.4,,2.0,Boston
2024-11-13 12:00:00,4.1,-5.7,49.0,0.0,,345.0,18.5,,1030.0,,2.0,Boston
2024-11-13 13:00:00,4.3,-5.5,49.0,,,351.0,18.5,,1029.9,,2.0,Boston
2024-11-13 14:00:00,4.7,-5.1,49.0,,,356.0,20.4,,1029.8,,2.0,Boston
2024-11-13 15:00:00,5.5,-4.7,48.0,,,8.0,18.5,,1029.6,,2.0,Boston
2024-11-13 16:00:00,5.7,-4.7,47.0,,,13.0,18.5,,1028.7,,2.0,Boston
2024-11-13 17:00:00,5.7,-4.7,47.0,,,19.0,16.7,,1027.9,,2.0,Boston
2024-11-13 18:00:00,4.7,-4.6,51.0,,,28.0,16.7,,1027.7,,2.0,Boston
